192.168.202.1, 2017-02-04 20:34:15, GET, /admin/static/_2.14.6/images/questions.png, HTTP/1.1, 200, 0.000443
192.168.202.1, 2017-02-04 20:34:15, GET, /favicon.ico, HTTP/1.1, 400, 0.000389
192.168.202.1, 2017-02-04 20:34:21, POST, /admin/default/index, HTTP/1.1, 303, 0.023832
192.168.202.1, 2017-02-04 20:34:21, GET, /admin/default/site, HTTP/1.1, 200, 0.032782
192.168.202.1, 2017-02-04 20:34:21, GET, /admin/static/_2.14.6/css/calendar.css, HTTP/1.1, 200, 0.000620
192.168.202.1, 2017-02-04 20:34:21, GET, /admin/static/_2.14.6/js/calendar.js, HTTP/1.1, 200, 0.000450
192.168.202.1, 2017-02-04 20:34:21, GET, /admin/static/_2.14.6/plugin_multiselect/multi-select.css, HTTP/1.1, 200, 0.002146
192.168.202.1, 2017-02-04 20:34:21, GET, /admin/static/_2.14.6/plugin_statebutton/css/bootstrap-switch.css, HTTP/1.1, 200, 0.001360
192.168.202.1, 2017-02-04 20:34:21, GET, /admin/static/_2.14.6/css/bootstrap.min.css, HTTP/1.1, 200, 0.000440
192.168.202.1, 2017-02-04 20:34:21, GET, /admin/static/_2.14.6/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.000632
192.168.202.1, 2017-02-04 20:34:21, GET, /admin/static/_2.14.6/js/jquery.js, HTTP/1.1, 200, 0.019894
192.168.202.1, 2017-02-04 20:34:21, GET, /admin/static/_2.14.6/js/web2py.js, HTTP/1.1, 200, 0.000630
192.168.202.1, 2017-02-04 20:34:21, GET, /admin/static/_2.14.6/css/bootstrap_essentials.css, HTTP/1.1, 200, 0.000408
192.168.202.1, 2017-02-04 20:34:21, GET, /admin/static/_2.14.6/plugin_multiselect/start.js, HTTP/1.1, 200, 0.000667
192.168.202.1, 2017-02-04 20:34:21, GET, /admin/static/_2.14.6/plugin_statebutton/js/bootstrap-switch.js, HTTP/1.1, 200, 0.000618
192.168.202.1, 2017-02-04 20:34:21, GET, /admin/static/_2.14.6/js/bootstrap.min.js, HTTP/1.1, 200, 0.000432
192.168.202.1, 2017-02-04 20:34:21, GET, /admin/static/_2.14.6/plugin_multiselect/jquery.multi-select.js, HTTP/1.1, 200, 0.000389
192.168.202.1, 2017-02-04 20:34:21, GET, /admin/static/_2.14.6/images/folder_locked.png, HTTP/1.1, 200, 0.000361
192.168.202.1, 2017-02-04 20:34:21, GET, /admin/static/_2.14.6/images/folder.png, HTTP/1.1, 200, 0.000422
192.168.202.1, 2017-02-04 20:34:21, GET, /admin/static/_2.14.6/images/glyphicons-halflings-white.png, HTTP/1.1, 200, 0.000281
192.168.202.1, 2017-02-04 20:34:21, POST, /admin/default/check_version, HTTP/1.1, 200, 0.223793
192.168.202.1, 2017-02-04 20:34:22, GET, /favicon.ico, HTTP/1.1, 400, 0.000348
192.168.202.1, 2017-02-04 20:34:28, GET, /ssllabs/default/index, HTTP/1.1, 200, 0.051612
192.168.202.1, 2017-02-04 20:34:28, GET, /ssllabs/static/css/web2py-bootstrap3.css, HTTP/1.1, 200, 0.000540
192.168.202.1, 2017-02-04 20:34:28, GET, /ssllabs/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.002562
192.168.202.1, 2017-02-04 20:34:28, GET, /ssllabs/static/js/jquery.js, HTTP/1.1, 200, 0.001033
192.168.202.1, 2017-02-04 20:34:28, GET, /ssllabs/static/js/calendar.js, HTTP/1.1, 200, 0.000342
192.168.202.1, 2017-02-04 20:34:28, GET, /ssllabs/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.030251
192.168.202.1, 2017-02-04 20:34:28, GET, /ssllabs/static/js/web2py.js, HTTP/1.1, 200, 0.001796
192.168.202.1, 2017-02-04 20:34:28, GET, /ssllabs/static/css/calendar.css, HTTP/1.1, 200, 0.000450
192.168.202.1, 2017-02-04 20:34:28, GET, /ssllabs/static/js/web2py-bootstrap3.js, HTTP/1.1, 200, 0.001381
192.168.202.1, 2017-02-04 20:34:28, GET, /ssllabs/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.001215
192.168.202.1, 2017-02-04 20:34:28, GET, /ssllabs/static/js/share.js, HTTP/1.1, 200, 0.000739
192.168.202.1, 2017-02-04 20:34:29, GET, /ssllabs/static/images/background.jpg, HTTP/1.1, 200, 0.000822
192.168.202.1, 2017-02-04 20:34:29, GET, /ssllabs/static/fonts/glyphicons-halflings-regular.woff2, HTTP/1.1, 200, 0.000598
192.168.202.1, 2017-02-04 20:34:29, GET, /ssllabs/static/images/twitter.png, HTTP/1.1, 200, 0.000774
192.168.202.1, 2017-02-04 20:34:29, GET, /ssllabs/static/images/facebook.png, HTTP/1.1, 200, 0.000454
192.168.202.1, 2017-02-04 20:34:29, GET, /ssllabs/static/images/gplus-32.png, HTTP/1.1, 200, 0.004633
192.168.202.1, 2017-02-04 20:34:29, GET, /ssllabs/static/images/favicon.ico, HTTP/1.1, 200, 0.000280
192.168.202.1, 2017-02-04 21:20:13, GET, /admin/default/site, HTTP/1.1, 200, 0.044255
192.168.202.1, 2017-02-04 21:20:13, GET, /admin/static/_2.14.6/js/jquery.js, HTTP/1.1, 200, 0.001031
192.168.202.1, 2017-02-04 21:20:13, GET, /admin/static/_2.14.6/css/calendar.css, HTTP/1.1, 200, 0.000736
192.168.202.1, 2017-02-04 21:20:13, GET, /admin/static/_2.14.6/plugin_statebutton/css/bootstrap-switch.css, HTTP/1.1, 200, 0.000677
192.168.202.1, 2017-02-04 21:20:13, GET, /admin/static/_2.14.6/css/bootstrap_essentials.css, HTTP/1.1, 200, 0.000520
192.168.202.1, 2017-02-04 21:20:13, GET, /admin/static/_2.14.6/plugin_multiselect/multi-select.css, HTTP/1.1, 200, 0.002931
192.168.202.1, 2017-02-04 21:20:13, GET, /admin/static/_2.14.6/css/bootstrap.min.css, HTTP/1.1, 200, 0.002128
192.168.202.1, 2017-02-04 21:20:13, GET, /admin/static/_2.14.6/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.000353
